,pellet_radius,hole_number,hole_radius,distance_from_centre,maximum_load,failure parameter at maximum_load,minimum_load,failure parameter at minimum_load
0,0.1,1,0.028,0.0,185249.48542591181,1.000043334934713,185249.48542591181,1.000043334934713
1,0.1,2,0.028,0.056,557932.2483716004,1.000052953707303,62632.222516483525,1.0000499124391606
2,0.1,3,0.028,0.056,146069.05946866606,1.000095971063538,51995.55712270705,1.0000261887308075
3,0.1,4,0.028,0.056,211321.83249778755,1.0000766467423559,52208.610009913384,1.0000052705018365
